Age,Gender,Family_Income,Internet_Access,Study_Hours_per_Day,Attendance_Rate,Assignment_Delay_Days,Travel_Time_Minutes,Part_Time_Job,Scholarship,Stress_Index,GPA,CGPA,Dropout,Semester_Year 2,Semester_Year 3,Semester_Year 4,Department_Business,Department_CS,Department_Engineering,Department_Science,Parental_Education_High School,Parental_Education_Master,Parental_Education_PhD
21.7,0,25000.0,1,3.9,85.2,5,34.9,0,0,6.6,0.26,0.42,1,1,0,0,1,0,0,0,0,1,0
23.1,0,25000.0,1,3.17,71.8,2,21.9,0,0,3.3,0.73,0.35,0,0,0,0,0,0,0,1,1,0,0
19.9,0,25000.0,1,4.18,78.7,2,38.9,1,0,4.1,3.73,4.0,0,0,1,0,0,0,0,0,1,0,0
20.6,1,39191.0,1,4.55,81.8,3,40.2,1,1,3.7,2.03,2.32,0,1,0,0,0,0,0,1,0,0,1
18.6,1,25000.0,1,6.55,100.0,0,15.5,1,1,5.8,3.17,3.13,0,0,0,0,0,0,1,0,0,0,0
18.4,1,25000.0,1,4.7,82.1,1,20.9,0,0,6.6,1.52,1.71,0,0,1,0,0,0,1,0,0,0,1
22.8,0,32151.0,0,4.76,85.6,1,13.9,0,0,6.6,1.55,1.63,0,1,0,0,0,0,0,0,1,0,0
24.0,1,31286.0,1,3.03,74.1,2,35.1,0,1,4.5,3.64,3.04,0,0,0,1,0,1,0,0,0,0,0
20.8,1,37293.0,1,2.76,87.8,0,31.5,0,0,5.2,3.64,3.68,0,0,0,1,0,0,0,1,0,0,0
23.2,1,38801.0,1,2.72,93.0,2,10.8,1,0,6.8,4.0,4.0,0,0,1,0,0,0,0,0,1,0,0
21.8,1,36430.0,1,3.61,80.8,1,22.2,0,0,4.5,1.9,1.48,0,0,0,0,0,0,1,0,0,1,0
19.6,0,33396.0,1,4.08,86.9,4,33.7,0,0,3.9,2.82,2.97,0,0,0,0,0,0,1,0,0,0,1
21.8,0,30744.0,1,4.28,86.6,3,31.4,0,1,4.3,2.02,2.28,0,0,0,1,1,0,0,0,0,0,0
24.4,0,44305.0,1,2.94,82.6,1,44.5,0,0,4.4,3.87,3.55,0,0,1,0,0,1,0,0,0,0,0
20.9,0,25000.0,1,1.09,92.3,1,16.2,1,0,5.6,2.5,2.33,0,0,0,0,0,0,0,0,0,0,0
24.4,0,75102.0,1,3.45,75.6,2,29.9,1,0,5.5,4.0,4.0,0,0,0,0,0,0,1,0,0,0,0
17.0,1,25000.0,0,5.22,75.0,1,18.0,0,0,5.2,4.0,3.97,0,0,0,1,0,1,0,0,0,1,0
22.8,1,25000.0,1,3.51,82.0,2,31.3,1,0,4.1,2.35,2.52,0,1,0,0,0,0,0,1,0,0,0
21.2,0,29740.5,1,4.0,79.0,2,27.8,0,0,5.5,3.72,3.59,0,0,1,0,0,0,0,1,0,0,0
20.3,1,44514.0,1,1.93,58.7,3,33.3,1,0,6.7,1.88,1.8,1,0,0,0,0,0,0,1,0,0,0
21.2,1,25000.0,1,4.16,76.1,2,25.1,0,0,6.1,0.7,1.27,0,0,0,1,0,0,1,0,1,0,0
17.0,0,29235.0,1,4.53,65.0,0,39.1,0,1,4.7,1.57,1.17,0,0,0,0,0,1,0,0,1,0,0
20.5,1,29740.5,0,4.0,79.4,2,21.4,0,0,5.5,2.06,1.85,0,0,0,0,0,1,0,0,0,1,0
21.8,1,53998.0,1,5.25,87.7,1,17.8,0,0,7.7,0.87,0.76,0,0,0,0,0,1,0,0,0,1,0
24.3,1,25000.0,1,5.56,82.4,2,32.7,0,1,5.4,0.83,0.89,0,0,1,0,0,0,1,0,0,0,0
19.9,1,25000.0,1,6.75,83.1,0,52.2,0,0,5.5,1.96,1.86,0,0,0,1,0,0,0,1,0,1,0
19.2,1,25000.0,1,2.8,80.8,2,11.7,0,0,8.2,3.0,3.11,0,0,0,1,0,0,0,0,0,0,0
19.9,1,25000.0,1,4.37,83.7,0,16.3,0,0,7.4,3.03,2.94,0,1,0,0,0,0,1,0,0,1,0
23.0,0,25000.0,1,2.46,100.0,1,32.8,0,1,4.3,3.12,3.2,0,0,1,0,0,0,0,0,0,1,0
21.7,0,25000.0,1,4.79,79.2,3,43.5,1,0,7.4,1.22,1.42,1,0,0,1,0,1,0,0,0,1,0
19.8,1,29740.5,1,4.0,81.9,0,33.7,0,0,5.5,2.96,2.7,1,0,1,0,0,0,0,0,1,0,0
22.1,0,32176.0,1,1.49,75.1,1,22.7,0,0,3.6,2.96,2.94,0,0,0,0,0,0,0,1,0,0,0
21.2,1,39933.0,1,4.35,66.8,1,35.0,0,0,7.8,2.37,2.64,0,0,1,0,0,0,0,0,1,0,0
23.1,1,33807.0,0,3.74,84.1,0,36.2,1,0,4.2,0.75,0.67,1,0,0,1,1,0,0,0,1,0,0
19.5,1,29740.5,0,4.0,91.1,3,21.8,0,0,5.5,3.54,3.8,0,0,0,0,0,1,0,0,1,0,0
20.3,0,50359.0,1,3.62,100.0,0,39.9,0,0,4.8,3.28,3.63,0,0,1,0,1,0,0,0,1,0,0
20.1,1,25000.0,1,6.68,80.5,3,29.6,0,1,9.2,0.32,0.01,0,0,0,0,0,0,0,0,1,0,0
17.8,0,25000.0,1,4.75,79.9,0,9.0,0,0,3.8,0.31,0.43,1,0,0,1,0,1,0,0,0,1,0
21.7,0,29740.5,1,4.0,74.5,0,28.4,1,0,5.5,1.52,1.5,0,0,0,1,0,1,0,0,0,0,0
21.6,0,29331.0,0,3.57,95.7,4,23.2,0,0,4.9,2.78,2.62,0,1,0,0,1,0,0,0,0,0,1
21.0,0,25000.0,1,1.48,72.1,2,45.7,0,1,6.4,1.86,2.13,0,0,0,0,0,0,1,0,0,0,1
20.5,0,51391.0,1,2.6,87.3,0,14.1,1,1,5.4,1.29,1.4,0,1,0,0,0,1,0,0,1,0,0
17.9,1,97535.0,1,6.19,96.6,1,24.2,0,1,4.3,4.0,4.0,1,0,1,0,1,0,0,0,0,1,0
20.1,1,29740.5,1,4.0,80.0,2,33.1,1,1,5.5,2.3,2.3,0,0,1,0,0,0,0,1,1,0,0
20.2,0,31276.0,1,4.59,72.7,1,59.0,1,0,7.9,2.1,2.3,0,0,0,0,0,0,1,0,0,0,0
19.2,0,49497.0,1,4.51,88.3,2,53.5,0,1,2.6,3.2,3.24,0,0,0,1,1,0,0,0,0,0,0
20.6,1,25000.0,1,5.84,71.2,2,29.5,0,0,4.3,1.92,1.92,0,0,0,1,0,0,0,1,0,0,0
21.9,1,30245.0,1,4.42,91.5,0,34.2,1,0,6.4,1.36,1.01,0,0,0,0,0,0,0,0,0,0,0
25.1,1,29740.5,1,4.0,97.9,4,37.2,1,1,5.5,3.55,3.36,1,0,0,0,0,0,1,0,0,1,0
21.4,1,29740.5,1,4.0,63.0,3,17.9,1,0,5.5,1.82,1.66,1,1,0,0,0,0,1,0,1,0,0
21.6,1,29740.5,0,4.0,95.3,1,30.1,0,0,5.5,1.35,1.55,0,1,0,0,0,0,0,1,0,0,0
20.8,0,26596.0,1,3.64,87.1,2,46.3,0,0,6.6,1.59,1.43,0,1,0,0,1,0,0,0,0,0,0
17.0,0,28669.0,0,6.21,93.1,0,31.7,0,1,6.4,3.82,4.0,0,0,0,0,1,0,0,0,0,0,0
20.9,1,25000.0,0,2.63,76.8,1,53.4,1,0,6.8,0.96,1.19,1,0,0,0,1,0,0,0,0,0,0
21.1,0,104579.0,1,3.34,87.0,2,24.7,1,0,6.1,2.47,2.68,0,0,1,0,0,0,0,1,0,1,0
26.4,0,25000.0,1,1.63,83.9,2,28.9,0,0,4.9,1.34,2.13,1,1,0,0,0,0,0,0,1,0,0
20.6,1,25000.0,1,5.31,75.7,1,29.0,1,0,7.2,1.81,1.49,0,0,0,1,1,0,0,0,1,0,0
21.7,1,28108.0,1,4.45,79.2,3,14.4,0,1,4.6,3.06,2.83,0,0,0,0,1,0,0,0,0,0,0
20.9,0,51263.0,1,6.26,86.6,0,43.3,0,1,5.2,2.45,2.48,0,0,0,1,0,1,0,0,1,0,0
18.4,0,30045.0,0,3.17,73.0,2,26.0,1,0,2.5,3.4,2.69,0,0,0,1,0,0,0,1,0,1,0
23.5,1,39789.0,1,2.97,72.4,2,33.1,1,1,4.6,2.9,2.96,0,0,1,0,0,0,0,1,0,0,0
22.7,0,29740.5,1,4.0,56.8,0,22.8,1,1,5.5,0.5,0.0,0,0,0,0,0,0,1,0,0,1,0
22.7,1,72592.0,0,4.59,75.8,3,50.7,0,1,5.5,2.31,1.83,1,1,0,0,0,0,0,0,0,0,0
19.0,1,41649.0,1,3.54,84.3,4,44.8,0,0,7.2,2.54,2.67,1,1,0,0,0,0,1,0,0,0,0
24.1,1,55749.0,1,4.39,77.9,0,30.7,0,0,4.7,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0
17.9,1,37016.0,1,3.45,92.2,1,15.3,1,0,4.8,1.42,1.18,0,0,0,0,0,1,0,0,0,0,0
22.3,0,48773.0,1,5.87,70.4,2,38.9,0,0,4.5,1.96,1.87,1,0,0,1,0,0,0,0,1,0,0
25.8,0,25000.0,1,5.64,86.1,3,43.0,1,0,5.9,3.4,3.41,0,0,0,1,0,0,0,1,0,1,0
18.8,1,25000.0,1,4.11,79.1,1,18.9,1,0,8.3,2.14,1.92,0,1,0,0,0,1,0,0,0,1,0
19.8,0,66695.0,1,5.37,81.2,0,28.3,0,0,1.3,3.86,4.0,0,0,0,0,0,0,0,1,0,0,0
21.2,0,75799.0,1,3.83,87.5,1,30.9,0,1,4.6,1.93,1.8,0,1,0,0,0,0,0,0,1,0,0
19.9,1,25000.0,1,3.94,60.9,2,43.0,0,0,4.9,1.89,1.92,1,0,1,0,0,0,0,0,1,0,0
17.6,0,34539.0,1,1.19,64.9,1,28.2,0,0,1.7,1.94,1.93,0,0,1,0,1,0,0,0,0,0,0
21.2,1,25000.0,1,4.66,81.5,2,41.5,0,0,5.3,1.7,1.5,0,0,0,1,0,1,0,0,0,0,0
18.7,0,25000.0,1,4.03,80.2,2,20.7,0,1,4.9,2.3,2.28,0,0,0,0,0,0,0,0,1,0,0
22.0,1,35274.0,1,5.14,70.6,3,17.3,0,0,4.7,2.45,2.56,0,0,0,0,0,0,1,0,1,0,0
19.0,0,58958.0,1,4.93,98.0,1,52.0,0,0,3.5,2.8,2.72,0,0,0,1,0,0,0,1,0,1,0
24.4,1,38988.0,1,3.03,72.7,1,14.3,1,1,5.3,1.89,1.79,0,0,1,0,0,0,1,0,0,1,0
19.3,0,25000.0,1,3.75,77.7,2,21.0,1,0,3.4,2.18,2.29,0,0,1,0,0,1,0,0,0,0,1
20.3,0,40494.0,0,3.38,91.2,2,39.4,0,1,4.0,1.9,1.88,0,1,0,0,0,1,0,0,0,0,0
22.8,1,25000.0,1,5.36,76.6,3,23.6,0,0,5.1,3.36,3.95,0,0,1,0,0,0,0,0,0,0,0
18.3,1,38073.0,1,6.05,75.1,1,23.3,0,0,7.3,1.17,1.01,0,0,1,0,1,0,0,0,1,0,0
21.5,1,68726.0,1,5.04,85.1,1,27.6,1,0,6.2,0.72,0.83,1,0,1,0,0,1,0,0,0,0,0
23.9,0,25000.0,0,6.58,76.1,1,5.0,0,0,6.6,3.6,3.93,0,0,0,0,0,1,0,0,0,0,0
17.5,1,47971.0,1,4.68,85.2,2,43.4,0,0,9.0,3.09,2.96,0,1,0,0,0,0,0,1,0,0,0
21.4,0,25000.0,1,2.73,86.1,1,32.1,0,1,6.3,2.39,2.63,0,0,1,0,1,0,0,0,1,0,0
21.6,1,62131.0,1,2.2,85.0,4,20.3,1,0,3.6,0.9,0.97,0,0,0,1,0,0,0,0,1,0,0
22.7,1,25000.0,1,2.8,91.4,3,9.4,0,1,4.5,2.11,2.73,0,1,0,0,0,0,1,0,0,1,0
18.3,1,25000.0,1,3.41,78.9,1,13.6,0,1,4.0,1.81,1.91,0,1,0,0,1,0,0,0,1,0,0
18.1,1,45124.0,1,3.12,78.0,0,10.9,0,1,5.3,2.68,2.27,0,1,0,0,0,0,1,0,0,1,0
22.1,0,36994.0,1,4.07,81.3,3,32.7,0,0,4.8,2.89,3.09,0,1,0,0,0,0,0,1,1,0,0
21.7,0,25000.0,1,3.77,59.4,5,32.8,0,0,3.8,3.15,3.26,0,0,0,0,0,1,0,0,0,0,0
21.6,1,25000.0,1,4.1,83.7,0,37.3,1,1,7.2,2.21,2.53,0,0,0,1,0,1,0,0,1,0,0
21.8,0,26569.0,1,7.17,79.4,2,38.8,1,1,7.3,0.92,1.25,0,0,0,0,1,0,0,0,0,0,0
19.5,1,25000.0,1,5.14,85.1,1,37.5,1,1,5.8,3.84,3.86,0,0,0,1,0,0,1,0,0,1,0
21.5,0,25000.0,1,4.35,74.8,1,48.5,0,0,3.7,3.68,3.42,0,1,0,0,0,0,0,0,0,0,0
21.6,1,31868.0,1,5.38,92.8,4,44.3,0,1,5.7,4.0,4.0,0,0,0,0,1,0,0,0,0,0,0
19.4,0,25000.0,0,2.95,80.3,2,41.5,1,0,4.4,3.72,3.87,0,0,0,0,1,0,0,0,0,1,0
25.1,0,38404.0,1,2.9,88.7,1,32.8,0,0,7.8,0.63,0.88,1,0,0,0,1,0,0,0,0,0,1
22.0,1,72699.0,1,5.19,77.9,2,38.6,0,0,3.3,3.6,3.55,0,0,0,0,0,0,0,1,0,1,0
18.4,0,27197.0,1,4.0,85.7,2,25.1,0,0,6.7,2.34,2.42,0,0,1,0,0,0,1,0,0,0,0
22.4,1,32148.0,1,4.16,69.6,0,27.3,1,1,6.6,1.7,1.54,0,0,0,0,1,0,0,0,1,0,0
18.9,1,99793.0,1,2.51,64.4,4,50.7,0,1,7.1,2.51,2.29,0,0,0,0,0,0,0,1,1,0,0
22.7,1,25000.0,1,3.38,80.3,1,23.3,0,0,5.9,2.79,2.77,0,0,1,0,1,0,0,0,0,1,0
23.5,1,60763.0,1,3.47,81.8,1,22.4,1,0,4.9,1.29,1.16,0,1,0,0,0,1,0,0,0,0,0
19.2,1,56529.0,1,3.37,81.2,1,25.7,0,0,9.8,1.17,1.06,1,1,0,0,1,0,0,0,0,0,0
23.1,1,49642.0,1,6.79,79.7,3,23.4,1,0,3.9,2.11,2.18,0,0,1,0,0,0,0,1,0,1,0
21.9,1,64541.0,1,6.76,78.8,2,24.4,0,0,6.8,2.74,2.62,0,0,1,0,0,1,0,0,0,0,0
22.8,1,35184.0,1,5.48,87.4,1,32.9,1,1,5.5,2.56,3.08,0,0,0,0,0,0,0,0,1,0,0
25.2,0,25000.0,1,4.13,96.3,0,33.3,0,0,6.1,2.24,2.24,1,0,1,0,0,0,1,0,0,0,0
20.5,0,57339.0,1,3.24,100.0,2,40.9,0,1,6.1,4.0,4.0,0,1,0,0,0,0,0,0,0,0,0
19.3,1,58671.0,1,2.65,90.8,1,56.3,1,0,3.6,4.0,3.81,0,0,1,0,0,0,0,0,0,0,0
19.0,1,57710.0,1,4.44,63.7,0,25.6,1,1,3.1,0.91,0.97,0,0,1,0,0,0,0,1,0,0,0
19.2,1,30537.0,0,5.66,90.4,0,29.2,1,1,3.2,4.0,3.73,0,0,0,1,0,0,1,0,0,0,0
20.8,0,25000.0,1,5.01,90.3,3,7.9,0,0,4.7,4.0,3.7,0,1,0,0,0,1,0,0,0,0,0
21.8,0,33350.0,1,4.13,81.2,1,14.5,1,1,5.9,1.01,0.8,0,0,0,0,0,0,1,0,1,0,0
21.6,1,52331.0,1,4.87,89.4,2,28.2,0,1,4.3,3.97,3.54,0,0,1,0,0,0,1,0,1,0,0
22.8,1,54974.0,0,3.98,84.9,1,35.6,0,0,2.9,2.24,2.68,0,0,0,0,0,0,0,1,0,1,0
21.0,1,25000.0,1,3.64,81.9,0,35.9,0,0,7.2,2.22,2.23,0,1,0,0,1,0,0,0,0,0,0
24.2,1,35926.0,1,2.68,84.0,4,37.4,0,0,2.7,1.21,1.71,0,1,0,0,1,0,0,0,1,0,0
20.4,0,25000.0,1,3.57,77.6,1,45.1,0,0,6.4,2.34,1.99,0,0,0,1,1,0,0,0,0,0,0
27.0,0,53689.0,1,4.39,67.3,2,50.5,1,0,4.1,3.47,3.54,0,0,1,0,1,0,0,0,0,0,0
22.4,1,25000.0,1,3.46,67.0,6,27.1,0,1,7.7,0.02,0.29,1,0,0,0,0,0,1,0,0,0,0
19.1,0,47627.0,1,2.51,89.3,5,20.4,0,0,4.6,2.01,2.11,0,0,1,0,0,0,0,1,1,0,0
18.6,1,25000.0,1,4.15,73.8,1,37.9,0,0,2.3,2.55,2.26,0,0,0,0,0,0,0,0,0,0,0
22.1,1,55207.0,0,4.39,69.8,2,41.2,0,0,5.4,3.18,2.8,0,1,0,0,1,0,0,0,1,0,0
20.5,0,36066.0,1,3.52,69.6,3,31.6,1,1,4.0,1.87,1.77,0,1,0,0,0,0,0,1,0,0,0
22.6,0,25000.0,1,3.97,78.2,0,27.9,0,1,7.0,2.61,2.32,0,1,0,0,0,0,1,0,0,1,0
22.0,1,45018.0,1,0.71,94.1,1,24.0,0,1,6.1,1.06,1.41,0,0,1,0,0,0,0,0,0,1,0
20.8,1,25000.0,1,4.96,80.8,1,29.5,1,0,4.4,3.54,3.43,0,1,0,0,0,1,0,0,1,0,0
19.1,0,46618.0,1,4.37,70.6,2,38.3,0,1,3.7,4.0,4.0,0,1,0,0,0,0,0,0,0,0,0
17.7,0,25224.0,0,5.84,93.9,1,22.0,1,0,3.5,3.77,3.73,0,0,0,1,0,0,1,0,0,0,0
20.0,1,25000.0,1,3.72,84.6,1,20.4,0,0,4.4,2.45,2.51,0,0,0,0,1,0,0,0,1,0,0
22.9,1,25000.0,1,4.95,79.2,1,37.2,0,0,8.0,1.96,2.01,0,0,0,1,1,0,0,0,1,0,0
21.5,1,25000.0,0,5.53,85.9,3,19.8,0,0,5.2,2.93,2.67,0,0,0,0,0,1,0,0,0,0,1
18.3,0,67570.0,1,4.03,82.1,0,31.8,1,1,7.2,2.08,2.29,0,0,0,1,0,1,0,0,0,1,0
21.4,0,51056.0,1,4.45,76.3,1,31.2,1,0,2.8,2.71,2.97,0,0,1,0,0,0,0,1,1,0,0
21.8,1,78772.0,1,4.19,77.6,2,30.0,0,0,2.0,3.06,2.95,0,0,0,0,0,0,0,0,1,0,0
19.1,0,80192.0,1,1.92,72.1,4,22.3,1,1,3.8,3.19,3.22,0,0,0,1,0,0,0,0,0,0,0
21.3,0,25000.0,1,4.5,78.2,3,50.8,1,1,6.7,0.51,0.19,1,0,0,1,1,0,0,0,1,0,0
21.1,1,26553.0,0,2.78,89.4,0,34.8,0,0,5.0,2.63,3.24,0,0,1,0,0,0,0,0,1,0,0
18.5,1,25000.0,1,2.88,89.2,0,23.8,1,0,7.1,1.1,1.4,0,0,0,0,0,0,0,0,1,0,0
21.8,0,25000.0,1,4.68,80.6,2,34.0,0,0,7.8,1.81,2.15,0,1,0,0,0,0,1,0,0,1,0
22.2,0,25000.0,1,5.68,80.7,3,52.0,1,0,3.8,2.0,2.07,1,0,0,0,0,0,0,1,0,1,0
23.4,0,29471.0,1,5.02,73.7,1,31.1,0,0,7.0,2.12,2.07,0,0,0,0,0,0,0,1,0,0,0
23.3,0,25000.0,1,4.76,85.2,1,48.4,1,1,8.0,3.14,2.97,0,0,1,0,0,0,0,0,0,0,0
18.0,1,29129.0,0,4.44,70.9,4,16.2,0,0,7.4,2.38,2.25,0,0,0,0,0,1,0,0,1,0,0
18.9,1,105817.0,0,5.13,88.7,5,19.8,0,0,2.6,2.2,2.11,0,0,0,1,0,1,0,0,1,0,0
22.1,0,25000.0,0,6.19,85.3,2,5.0,0,1,2.2,4.0,3.82,0,1,0,0,0,0,0,0,1,0,0
22.1,1,33418.0,1,3.25,79.9,2,53.7,0,0,4.7,1.84,2.01,0,0,0,1,1,0,0,0,0,1,0
22.1,0,51225.0,1,3.29,85.5,0,9.6,1,0,4.8,1.59,1.56,0,0,0,0,0,0,0,0,1,0,0
